Municipios;Sexo;Periodo;Total
29 Málaga;Total;2022;1.717.504
29 Málaga;Total;2021;1.695.651
29 Málaga;Total;2020;1.685.920
29 Málaga;Total;2019;1.661.785
29 Málaga;Total;2018;1.641.121
29 Málaga;Total;2017;1.630.615
29 Málaga;Total;2016;1.629.298
29 Málaga;Total;2015;1.628.973
29 Málaga;Total;2014;1.621.968
29 Málaga;Total;2013;1.652.999
29 Málaga;Total;2012;1.641.098
29 Málaga;Total;2011;1.625.827
29 Málaga;Total;2010;1.609.557
29 Málaga;Total;2009;1.593.068
29 Málaga;Total;2008;1.563.261
29 Málaga;Total;2007;1.517.523
29 Málaga;Total;2006;1.491.287
29 Málaga;Total;2005;1.453.409
29 Málaga;Total;2004;1.397.925
29 Málaga;Total;2003;1.374.890
29 Málaga;Total;2002;1.330.010
29 Málaga;Total;2001;1.302.240
29 Málaga;Total;2000;1.278.851
29 Málaga;Total;1999;1.258.084
29 Málaga;Total;1998;1.240.580
29 Málaga;Total;1997;""
29 Málaga;Total;1996;1.249.290
29 Málaga;Hombres;2022;840.488
29 Málaga;Hombres;2021;829.976
29 Málaga;Hombres;2020;825.450
29 Málaga;Hombres;2019;814.349
29 Málaga;Hombres;2018;804.858
29 Málaga;Hombres;2017;800.551
29 Málaga;Hombres;2016;800.630
29 Málaga;Hombres;2015;800.767
29 Málaga;Hombres;2014;797.639
29 Málaga;Hombres;2013;813.878
29 Málaga;Hombres;2012;808.527
29 Málaga;Hombres;2011;801.126
29 Málaga;Hombres;2010;793.575
29 Málaga;Hombres;2009;786.393
29 Málaga;Hombres;2008;773.012
29 Málaga;Hombres;2007;750.682
29 Málaga;Hombres;2006;737.508
29 Málaga;Hombres;2005;717.572
29 Málaga;Hombres;2004;688.242
29 Málaga;Hombres;2003;675.800
29 Málaga;Hombres;2002;651.174
29 Málaga;Hombres;2001;636.274
29 Málaga;Hombres;2000;623.607
29 Málaga;Hombres;1999;612.914
29 Málaga;Hombres;1998;605.927
29 Málaga;Hombres;1997;""
29 Málaga;Hombres;1996;611.750
29 Málaga;Mujeres;2022;877.016
29 Málaga;Mujeres;2021;865.675
29 Málaga;Mujeres;2020;860.470
29 Málaga;Mujeres;2019;847.436
29 Málaga;Mujeres;2018;836.263
29 Málaga;Mujeres;2017;830.064
29 Málaga;Mujeres;2016;828.668
29 Málaga;Mujeres;2015;828.206
29 Málaga;Mujeres;2014;824.329
29 Málaga;Mujeres;2013;839.121
29 Málaga;Mujeres;2012;832.571
29 Málaga;Mujeres;2011;824.701
29 Málaga;Mujeres;2010;815.982
29 Málaga;Mujeres;2009;806.675
29 Málaga;Mujeres;2008;790.249
29 Málaga;Mujeres;2007;766.841
29 Málaga;Mujeres;2006;753.779
29 Málaga;Mujeres;2005;735.837
29 Málaga;Mujeres;2004;709.683
29 Málaga;Mujeres;2003;699.090
29 Málaga;Mujeres;2002;678.836
29 Málaga;Mujeres;2001;665.966
29 Málaga;Mujeres;2000;655.244
29 Málaga;Mujeres;1999;645.170
29 Málaga;Mujeres;1998;634.653
29 Málaga;Mujeres;1997;""
29 Málaga;Mujeres;1996;637.540
29001 Alameda;Total;2022;5.451
29001 Alameda;Total;2021;5.453
